categoria,id,titulo,slug,descripcion,url,video
tecnica,1,Normas de infraestructura: NTVO,Normas_NTVO,Normas Técnicas de Vía y Obras,https://drive.google.com/uc?export=download&id=1hhT5QUSRYhjm99YW8KesOO1jZVTkorF2,dfY0n-BPE54
tecnica,2,Normas de infraestructura: GVO,Normas_GVO,Gerencia de Vía y Obras,https://drive.google.com/uc?export=download&id=1eEvCSKR3jFICKlMS88cb_57ArBU_Ogbo,dfY0n-BPE54
tecnica,3,Normas de Seguridad: Tolerancias de Seguridad y Mantenimiento de Vía,Normas_Mantenimiento_de_Via,Norma técnica de Tolerancias de Seguridad y Mantenimiento de Vía,https://drive.google.com/uc?export=download&id=1IIK8h6gTu4E4ZJyirSby-rthjgvWPu1v,dfY0n-BPE54
tecnica,4,Normas de Seguridad: Resolución SETOP 7/81,Normas_SETOP,Norma para los cruces entre caminos y vías férreas,https://drive.google.com/uc?export=download&id=1_f6OnPd-9K13xz1D0h6cOYPzQ8790WnB,dfY0n-BPE54
tecnica,5,Normas de Interferencias: Conducciones Eléctricas,Normas_Interferencias_Electricas,Normas para las conducciones eléctricas que cruzan o corren paralelas al ferrocarril,https://drive.google.com/uc?export=download&id=1clbs3RyIYMj11iiE24zhi7Tl96PYNE5M,dfY0n-BPE54
planos,1000,Planos GVO,Planos_GVO,Planos GVO: Completo,https://drive.google.com/uc?export=download&id=1pJ3FDhheN2Fp38s1-0X8HYwlfzqbQaU1,dfY0n-BPE54
planos,1001,Planos GST/GCTF,Planos_GST/GCTF,Planos GST/GCTF: Completo,https://drive.google.com/uc?export=download&id=14oIGEC2agZVLwMq5q0m2C2834q6DnOVP,dfY0n-BPE54
cyp,2001,Proximamente,Proximamente,Proximamente se agregará nueva información,https://drive.google.com/uc?export=download&id=,dfY0n-BPE54
